Analyzing 378 Когда тьма со всех сторон (Душа моя так ждет Тебя).pdf...

Char   | Width    | Gap After 
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.1373
'H'      | 8.1778   | 0.1022
'[SPACE]' | 2.9290   | -
'С'      | 7.4833   | -
'л'      | 7.1604   | -
'о'      | 7.3991   | 0.0702
'в'      | 6.7252   | -
'о'      | 7.3991   | -
'м'      | 9.4910   | 0.0299
'[SPACE]' | 3.1730   | -
'–'      | 6.9919   | -
'[SPACE]' | 3.1730   | -
'ж'      | 9.6736   | 0.0464
'[SPACE]' | 3.1730   | -
'—'      | 12.7062   | 0.0438
'[SPACE]' | 3.1730   | -
'и'      | 7.5956   | -
'[SPACE]' | 3.1730   | -
'—'      | 12.7062   | 0.0138
'[SPACE]' | 3.1730   | -
'з'      | 5.9389   | -
'[SPACE]' | 3.1730   | -
'—'      | 12.7062   | 0.0138
'[SPACE]' | 3.1730   | -
'н'      | 7.5114   | 0.0486
'[SPACE]' | 3.1730   | -
'—'      | 12.7062   | 0.0138
'[SPACE]' | 3.1730   | -
'[SPACE]' | 3.1730   | -
'[SPACE]' | 3.1730   | -
'[SPACE]' | 3.1730   | 0.0562
'[SPACE]' | 3.1730   | -
'[SPACE]' | 3.1730   | -
'[SPACE]' | 3.1730   | 0.0562
'[SPACE]' | 3.1730   | -
'[SPACE]' | 3.1730   | 0.0562
'[SPACE]' | 3.1730   | -
'[SPACE]' | 3.1730   | -
'[SPACE]' | 3.1730   | 0.0244
'и'      | 7.5956   | 0.0702
'[SPACE]' | 3.1730   | -
'б'      | 7.4833   | -
'у'      | 6.3601   | -
'д'      | 7.8343   | -
'у'      | 6.3601   | -
'[SPACE]' | 3.1730   | 0.0562
'т'      | 5.4335   | -
'в'      | 6.7252   | -
'ё'      | 6.9919   | -
'р'      | 7.3710   | -
'д'      | 7.8343   | -
'…'      | 9.6876   | -
'[SPACE]' | 3.1730   | -
'[SPACE]' | 3.1730   | -
'П'      | 8.8452   | 0.0348
'р'      | 7.5395   | 0.0165
'е'      | 7.0621   | 0.0179
'-'      | 4.2962   | 0.0238
'п'      | 7.4974   | -
'р'      | 7.5395   | -
'и'      | 7.8203   | -
'п'      | 7.4974   | -
'е'      | 7.0621   | -
'в'      | 6.9498   | 0.0323
'[SPACE]' | 3.1730   | -
'1'      | 7.1183   | -
':'      | 3.8750   | -
'[SPACE]' | 3.1730   | -
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.1736
'E'      | 6.3245   | 0.1855
'[SPACE]' | 2.9290   | -
'[SPACE]' | 3.1730   | -
'[SPACE]' | 3.1730   | -
'[SPACE]' | 3.1730   | -
'Т'      | 6.8375   | -
'ы'      | 9.3506   | -
'[SPACE]' | 3.1730   | -
'м'      | 9.4910   | -
'о'      | 7.3991   | -
'й'      | 7.5956   | -
'[SPACE]' | 3.1730   | -
'с'      | 5.9389   | -
'л'      | 7.1604   | -
'а'      | 6.7252   | -
'в'      | 6.7252   | -
'н'      | 7.5114   | 0.0702
'ы'      | 9.3506   | -
'й'      | 7.5956   | -
'[SPACE]' | 3.1730   | -
'Б'      | 7.5535   | -
'о'      | 7.3991   | -
'г'      | 4.8578   | -
','      | 3.5100   | -
'[SPACE]' | 3.1730   | -
'с'      | 5.9389   | -
'к'      | 6.5146   | -
'а'      | 6.7252   | -
'л'      | 7.1604   | -
'а'      | 6.7252   | -
'[SPACE]' | 3.1730   | -
'с'      | 5.9389   | -
'п'      | 7.3148   | -
'а'      | 6.7252   | -
'с'      | 5.9389   | -
'е'      | 6.9919   | -
'н'      | 7.5114   | -
'ь'      | 6.5988   | -
'я'      | 6.6550   | -
','      | 3.5100   | -
